No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,2.7,13.7,2.4,12.6,10,0,,
2,0.4,0.75,1,9.1,25,9.6,9,0,,
3,0.8,2.49,6.1,4.5,19.2,4.5,6,0,,
4,1.2,3.77,22.3,1.5,9,10.4,12,2,,
5,1.6,5.18,3.3,3.1,24.2,7.4,11,4,,
6,2,6.11,5.9,19.1,15.9,1.7,7,0,,
7,2.4,7.87,42.1,6.1,36.7,9.7,15,0,,
8,2.8,8.59,32.9,0.6,18.6,10.7,9,2,,
9,3.2,8.97,51.7,9.3,43.5,6.8,13,3,,
10,3.6,9.37,41.6,0,41.3,9.9,10,5,,
11,4,9.57,40.2,2.1,61.8,13,13,1,,
12,4.4,10.39,53.4,2.7,53.7,0.6,12,5,,
13,4.8,11.8,53.4,20.7,48.8,0.2,15,2,,
14,5.2,13.39,66.1,5.1,73.6,0.4,7,2,,
15,5.6,14.83,79.5,6.7,86.8,0.7,10,7,,
16,6,16.69,84.5,0.5,75,11.3,12,6,,
17,6.4,18.47,79,19.1,72.2,3,11,4,,
18,6.8,20.39,92,8.9,84,0.2,8,11,,
19,7.2,21.71,94.5,14,77.8,17.6,7,3,,
20,7.6,23.35,84,10.2,87.4,9.7,9,7,,
