No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,4,7.3,9.3,4.1,9,0,,
2,0.4,0.62,13.3,7.3,2.8,8.9,8,0,,
3,0.8,2.36,23.3,3.1,8.4,9.9,12,0,,
4,1.2,4.29,3.1,6.7,21.9,2.7,6,0,,
5,1.6,6.15,4.1,0.2,23.9,1.9,12,1,,
6,2,6.7,28.4,6.4,23.1,13.3,4,1,,
7,2.4,7.51,18.6,7.2,37.7,18.5,7,2,,
8,2.8,8.05,20,14.6,35.4,16.9,14,3,,
9,3.2,8.66,27.2,16.9,35.4,5.6,6,5,,
10,3.6,9.21,34.4,1.7,56.5,8.6,10,4,,
11,4,10.21,51.8,8.8,43,2.4,13,7,,
12,4.4,10.68,53.4,4.5,42.3,9.7,8,8,,
13,4.8,11.32,55.2,5.1,43.9,0.5,7,6,,
14,5.2,12.23,48.1,14.7,54.5,5.9,11,4,,
15,5.6,14.04,62.1,25,64.6,4.5,6,5,,
16,6,14.51,89.6,5.5,70.4,3.4,7,4,,
17,6.4,15.07,78.7,14.4,78.1,11.9,4,6,,
18,6.8,16.49,83.9,3.2,83.3,0.9,10,5,,
19,7.2,17.35,95.7,14.5,67.3,7.1,8,6,,
20,7.6,18.42,97.4,1.1,84.3,3.6,18,9,,
